Frequency[Hz]	Experimental
81.250	0.24965
82.812	0.26412
84.375	0.28639
85.937	0.29087
87.500	0.28303
89.062	0.29861
90.625	0.30591
92.187	0.31027
93.750	0.30784
95.312	0.33008
96.875	0.33957
98.437	0.34634
100.00	0.35466
101.56	0.35820
103.13	0.36457
104.69	0.36870
106.25	0.37572
107.81	0.38279
109.38	0.38616
110.94	0.39832
112.50	0.40280
114.06	0.40894
115.63	0.40878
117.19	0.41416
118.75	0.42649
120.31	0.42723
121.88	0.43026
123.44	0.43712
125.00	0.43770
126.56	0.44279
128.13	0.44706
129.69	0.45365
131.25	0.45582
132.81	0.45663
134.38	0.46037
135.94	0.45946
137.50	0.46157
139.06	0.46865
140.63	0.46992
142.19	0.48121
143.75	0.47720
145.31	0.48208
146.88	0.49087
148.44	0.49736
150.00	0.50349
151.56	0.50356
153.13	0.51081
154.69	0.52130
156.25	0.52323
157.81	0.52426
159.38	0.52047
160.94	0.52514
162.50	0.52909
164.06	0.53478
165.63	0.53746
167.19	0.53403
168.75	0.54254
170.31	0.53986
171.88	0.54022
173.44	0.54521
175.00	0.54576
176.56	0.54789
178.13	0.54958
179.69	0.55484
181.25	0.55756
182.81	0.55789
184.38	0.56979
185.94	0.56950
187.50	0.57223
189.06	0.57645
190.63	0.57922
192.19	0.58252
193.75	0.58082
195.31	0.58039
196.88	0.58439
198.44	0.58230
200.00	0.58609
201.56	0.58566
203.12	0.58812
204.69	0.58709
206.25	0.58950
207.81	0.59144
209.37	0.59364
210.94	0.59562
212.50	0.59721
214.06	0.59998
215.62	0.59776
217.19	0.60191
218.75	0.60251
220.31	0.60427
221.87	0.60613
223.44	0.60986
225.00	0.61026
226.56	0.61107
228.12	0.61383
229.69	0.61635
231.25	0.61715
232.81	0.61883
234.37	0.61913
235.94	0.62102
237.50	0.62118
239.06	0.62257
240.62	0.62462
242.19	0.62355
243.75	0.62707
245.31	0.62625
246.87	0.62509
248.44	0.62700
250.00	0.62582
251.56	0.62784
253.12	0.62749
254.69	0.62850
256.25	0.62520
257.81	0.62927
259.37	0.62697
260.94	0.63012
262.50	0.63237
264.06	0.62936
265.62	0.63008
267.19	0.63154
268.75	0.62968
270.31	0.63017
271.87	0.63197
273.44	0.63250
275.00	0.63246
276.56	0.63211
278.12	0.62868
279.69	0.63039
281.25	0.63130
282.81	0.63240
284.37	0.63083
285.94	0.63219
287.50	0.63321
289.06	0.63232
290.62	0.63192
292.19	0.63138
293.75	0.63135
295.31	0.63162
296.87	0.62951
298.44	0.63338
300.00	0.63141
301.56	0.63125
303.12	0.63100
304.69	0.62975
306.25	0.63143
307.81	0.63046
309.37	0.62717
310.94	0.62816
312.50	0.62893
314.06	0.62882
315.62	0.62965
317.19	0.62793
318.75	0.62899
320.31	0.62980
321.87	0.62414
323.44	0.62841
325.00	0.63007
326.56	0.63140
328.12	0.63130
329.69	0.63004
331.25	0.63386
332.81	0.63642
334.37	0.63907
335.94	0.63526
337.50	0.63802
339.06	0.63621
340.62	0.63336
342.19	0.63290
343.75	0.62988
345.31	0.62977
346.87	0.62723
348.44	0.62969
350.00	0.62577
351.56	0.62616
353.12	0.62234
354.69	0.61998
356.25	0.61969
357.81	0.62243
359.37	0.61807
360.94	0.61990
362.50	0.61759
364.06	0.61790
365.62	0.61901
367.19	0.61802
368.75	0.61744
370.31	0.61816
371.87	0.61731
373.44	0.61580
375.00	0.61687
376.56	0.61551
378.12	0.61680
379.69	0.61853
381.25	0.61589
382.81	0.61515
384.37	0.61576
385.94	0.61269
387.50	0.61471
389.06	0.61327
390.62	0.61410
392.19	0.61393
393.75	0.61414
395.31	0.61458
396.87	0.61412
398.44	0.61242
400.00	0.61142
401.56	0.61025
403.12	0.61216
404.69	0.61133
406.25	0.60987
407.81	0.60908
409.37	0.60913
410.94	0.60984
412.50	0.60820
414.06	0.60832
415.62	0.60828
417.19	0.60767
418.75	0.60652
420.31	0.60795
421.87	0.60733
423.44	0.60524
425.00	0.60692
426.56	0.60536
428.12	0.60492
429.69	0.60530
431.25	0.60451
432.81	0.60241
434.37	0.60078
435.94	0.60383
437.50	0.60366
439.06	0.60336
440.62	0.60310
442.19	0.60474
443.75	0.60419
445.31	0.60257
446.87	0.60174
448.44	0.60294
450.00	0.60309
451.56	0.60248
453.12	0.60259
454.69	0.60179
456.25	0.60268
457.81	0.60224
459.37	0.59949
460.94	0.59893
462.50	0.60053
464.06	0.60062
465.62	0.59848
467.19	0.59736
468.75	0.59579
470.31	0.59860
471.87	0.60140
473.44	0.59940
475.00	0.59817
476.56	0.59748
